stock_no,year,make,model,trim,body,price,mileage,engine,transmission,drivetrain,horsepower,torque,fuel_economy,exterior_color,interior_color,features,image_url
PAG001,2022,Honda,Civic,Sport,Sedan,24900,24500,2.0L 4-cylinder,CVT,FWD,158,138 lb-ft,7.1 L/100km,Crystal Black Pearl,Black cloth,"Honda Sensing Suite|Apple CarPlay|Android Auto|7"" Touchscreen Display|Lane Keep Assist|Adaptive Cruise Control|18"" Alloy Wheels|LED Headlights|Power Sunroof",https://picsum.photos/seed/PAG001/400/300
PAG002,2022,Toyota,Camry,SE,Sedan,27900,29000,2.5L 4-cylinder,8-speed automatic,FWD,203,184 lb-ft,7.1 L/100km,Celestial Silver Metallic,Black SofTex,"Toyota Safety Sense 2.5+|9"" Touchscreen|Wireless Charging|Sport-Tuned Suspension|18"" Black Alloy Wheels|Dual Exhaust|LED Headlights",https://picsum.photos/seed/PAG002/400/300
PAG003,2020,Toyota,Corolla,SE,Sedan,17900,52000,2.0L 4-cylinder,CVT (Dynamic Shift),FWD,169,151 lb-ft,6.8 L/100km,Blue Crush Metallic,Black fabric,"Toyota Safety Sense 2.0|8"" Touchscreen|Apple CarPlay|Android Auto|Blind Spot Monitor|Sport Mode|18"" Alloy Wheels|LED Headlights|Rear Spoiler",https://picsum.photos/seed/PAG003/400/300
PAG004,2020,Hyundai,Elantra,Preferred,Sedan,16450,51000,2.0L 4-cylinder,CVT,FWD,147,132 lb-ft,7.3 L/100km,Phantom Black,Black cloth,"8"" Touchscreen|Apple CarPlay|Android Auto|Forward Collision Avoidance|Lane Keep Assist|Heated Front Seats|Heated Steering Wheel|16"" Alloy Wheels",https://picsum.photos/seed/PAG004/400/300
PAG005,2019,Volkswagen,Jetta,Comfortline,Sedan,15990,68000,1.4L Turbo 4-cylinder,8-speed automatic,FWD,147,184 lb-ft,6.9 L/100km,Pure White,Titan Black,"VW Digital Cockpit|6.5"" Touchscreen|App-Connect|Blind Spot Monitor|Heated Front Seats|Heated Steering Wheel|LED Headlights|16"" Alloy Wheels",https://picsum.photos/seed/PAG005/400/300
PAG006,2021,Nissan,Altima,SV,Sedan,19850,42000,2.5L 4-cylinder,CVT,FWD,188,180 lb-ft,7.5 L/100km,Brilliant Silver Metallic,Charcoal cloth,"Nissan Safety Shield 360|8"" Touchscreen|Apple CarPlay|Android Auto|Blind Spot Warning|Intelligent Cruise Control|Heated Front Seats|17"" Alloy Wheels",https://picsum.photos/seed/PAG006/400/300
PAG007,2021,Tesla,Model 3,Standard Range Plus,Sedan,31500,38000,Single Electric Motor,Single-speed fixed,RWD,283,307 lb-ft,—,Pearl White Multi-Coat,Black vegan leather,"15"" Central Touchscreen|Autopilot|Over-the-Air Updates|Sentry Mode|Heated Front & Rear Seats|Panoramic Glass Roof|Wireless Phone Docking|18"" Aero Wheels",https://picsum.photos/seed/PAG007/400/300
PAG008,2022,BMW,330i,xDrive,Sedan,38500,26000,2.0L Turbo 4-cylinder,8-speed Steptronic,AWD,255,295 lb-ft,8.1 L/100km,Alpine White,Black Vernasca leather,"BMW iDrive 7|10.25"" Touchscreen|Wireless Apple CarPlay|Harman Kardon Surround Sound|Gesture Control|Wireless Charging|M Sport Suspension|18"" M Alloy Wheels",https://picsum.photos/seed/PAG008/400/300
PAG009,2022,Mercedes-Benz,C300,4MATIC,Sedan,41500,22000,2.0L Turbo 4-cyl + Mild Hybrid,9-speed 9G-TRONIC,AWD,255,295 lb-ft,8.3 L/100km,Obsidian Black Metallic,Black MB-Tex,"MBUX Infotainment|11.9"" Touchscreen|12.3"" Digital Cluster|Wireless CarPlay & Android Auto|Burmester 3D Surround Sound|Heated Front Seats|64-Color Ambient Lighting|18"" AMG Wheels",https://picsum.photos/seed/PAG009/400/300
PAG010,2019,Audi,A4,Premium Plus,Sedan,26500,58000,2.0L Turbo 4-cylinder,7-speed S tronic,AWD (quattro),248,273 lb-ft,8.1 L/100km,Ibis White,Black leather,"Audi MMI|10.1"" Touchscreen|Wireless Apple CarPlay|Bang & Olufsen 3D Sound|Virtual Cockpit Plus|Adaptive Cruise Control|Lane Departure Warning|Heated Front Seats|Sport Suspension|18"" Wheels",https://picsum.photos/seed/PAG010/400/300
